summary,genre
গ্রামের স্কুলশিক্ষক অরুণ নিজের ভাঙা জীবনের গল্প বলতে বলতে স্বাধীনতার পরে বদলে যাওয়া সমাজের মুখোমুখি হয়। প্রেম ক্ষতি আর ফিরে পাওয়ার মধ্যে তার যাত্রা এগোয়।,উপন্যাস
ঢাকার ব্যস্ত শহরে দুই বন্ধুর সম্পর্ক সময়ের সাথে বদলে যায়। পরিবার চাকরি আর স্বপ্নের টানাপোড়েনে তারা নিজেদের নতুনভাবে খুঁজে পায়।,উপন্যাস
নদীর পাড়ের ছোট্ট বাজারকে কেন্দ্র করে তিন প্রজন্মের গল্প এগোয়। জমি উত্তরাধিকার আর নৈতিকতার দ্বন্দ্বে পরিবার ভেঙে আবার জোড়া লাগে।,উপন্যাস
এক তরুণী লেখক শহর ছেড়ে গ্রামে গিয়ে নতুন জীবন শুরু করে। মানুষের স্মৃতি ও ইতিহাসের ভেতর দিয়ে সে নিজের পরিচয় নির্মাণ করে।,উপন্যাস
যুদ্ধশেষে ফেরত আসা সৈনিকের মানসিক ক্ষত তার ভালবাসা ও সামাজিক বিচ্ছিন্নতার গল্প ধীরে ধীরে গভীর মানবিক বয়ানে রূপ নেয়।,উপন্যাস
বর্ষার রাতে জানালায় টুপটাপ জল আর একা মানুষের মনে জমে থাকা না বলা কথা নিয়ে কবিতার সংকলন।,কবিতা
শহরের ধুলোমাখা দুপুর শ্রমিকের ক্লান্তি প্রেমিকার চিঠি আর আশা নিয়ে লেখা মুক্তছন্দের কবিতাগুচ্ছ।,কবিতা
নদী মাটি আকাশ আর মানুষের সম্পর্ককে প্রকৃতিময় ভাষায় ধরা হয়েছে এই কবিতা বইতে।,কবিতা
স্মৃতি আর বিচ্ছেদের ভেতর দিয়ে সময়কে অনুভব করার সূক্ষ্ম কবিতাগুলো পাঠককে অন্তর্মুখী করে তোলে।,কবিতা
বিদ্রোহ অধিকার আর গণমানুষের স্বপ্নকে রাজনৈতিক ইঙ্গিতে নির্মিত শক্তিশালী কবিতার বই।,কবিতা
